Unnamed: 0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,stiffness_value
7200,-22.12057644,-1.415466907,0.707259358,-0.111327756,0.261114396,0.067953949,-0.020104465,-0.274642141,0.056362309,-0.237128937,-0.505543834,0.04745137,-0.440135639,-0.067787636,0.151093758,101.4286556
4850,-22.24805486,-1.39874186,0.690082343,-0.136890363,0.193105945,-0.036845923,-0.001526689,-0.361006574,0.075584467,-0.247061527,-0.430204193,-0.024738393,-0.450374983,-0.094627033,0.145624768,100.8636993
4800,-22.10748021,-1.234626224,0.693064536,-0.082545455,0.154322317,-0.028346731,-0.013421421,-0.444657858,0.081633305,-0.184672059,-0.39932173,0.000573182,-0.368355855,-0.089310583,0.13357429,99.64943899
7250,-21.91425326,-0.850868756,1.134087748,0.614609528,0.085070276,-0.566776477,-0.018011165,0.096344285,-0.026459443,0.104871987,-0.209235658,0.059728634,-0.522332506,-0.023979466,-0.11266872,98.17798847
7400,-21.68259476,-0.776934011,0.975852461,-0.576175593,0.250695225,0.680493358,0.062722222,0.165595816,0.016864878,-0.019569814,-0.464000391,-0.113539786,-0.193593676,0.052809404,0.048273226,97.72680785
7202,-21.09184539,-1.228024999,0.841597932,-0.045230686,0.180711109,0.119100666,-0.069223543,-0.253870748,0.100915376,-0.118969423,-0.473535367,-0.00306352,-0.465583544,-0.011142227,0.094766325,97.13518961
4852,-21.59742135,-1.243566591,0.652295958,-0.027732973,0.209900033,0.041284435,-0.028139805,-0.419237431,0.044569639,-0.186413433,-0.404794958,0.003714719,-0.394207663,-0.092531353,0.175741755,97.12952716
2450,-22.16712177,-1.400837196,0.527628948,-0.04462808,0.198348053,0.022157765,-0.072960654,-0.464744608,-0.003433169,-0.352173144,-0.274839681,0.026234601,-0.282555741,-0.08670778,0.093930871,96.56057409
4853,-21.33641029,-1.26321566,0.739549384,-0.082100014,0.164819905,-0.106898422,-0.022873073,-0.37960795,0.144613335,-0.1490351,-0.378584551,-0.022766369,-0.354425392,-0.086736953,0.119937434,96.43100083
2400,-22.17781461,-1.428482697,0.498802103,-0.003533238,0.23634498,-0.046740952,0.006282327,-0.431821866,0.022297703,-0.336033293,-0.24859844,0.050060347,-0.228155447,-0.097022976,0.139347138,96.15638344
7203,-20.68348834,-1.295910433,0.858119576,-0.101333176,0.199893445,-0.117224401,0.000174245,-0.213431756,0.056701383,-0.080683772,-0.491121476,-0.049223977,-0.522579937,-0.108888149,0.061978079,95.94480586
4802,-21.14445189,-1.292074629,0.731745395,-0.102162445,0.179085478,0.037569023,-0.001642589,-0.341152963,0.070085091,-0.204690166,-0.399482995,-0.00623787,-0.398577322,-0.079126686,0.163548894,95.86589237
4854,-21.28514764,-1.271582599,0.731154108,-0.094580567,0.201186646,0.012325208,-0.051894343,-0.285675915,0.030242528,-0.187926383,-0.381046298,-0.007934097,-0.361653344,-0.054273983,0.149463587,95.78127721
2451,-22.01338653,-1.41999661,0.503644475,-0.041503347,0.220607117,-0.019311541,0.009696408,-0.441864678,0.046541368,-0.33214537,-0.267027168,0.015610378,-0.211208661,-0.118580732,0.097683787,95.40456273
5000,-21.97264345,-0.892899079,0.975341692,0.508785049,0.102980148,-0.550701706,-0.076228134,0.05239579,0.119983414,-0.109956853,-0.177392526,0.088303558,-0.337446743,-0.020304649,-0.109839728,95.18293093
